"","house_code","long","lat","kandida","kater","kawegi","near_kibuon_maranatha_church","near_munyu_maranatha_church","near_umbolwanda","shirikisho_church","unassessed","number_of_people","bondo_a_well_ewb_hope_college","bondo_concrete_water_tank","bondo_kokumu_well","bondo_water_kiosk","hand_dug_deep_well","kandwat","kapaul","kibuon_spring","koyanda","lela_b_well_ewb_oregon_state_sf_professional","lela_c","munyu_river","new_source","nyamilo_water_project_well","ogwedhi","ogwedhi_water_project","old_hand_dug_well","riamanyama","wadhanyim","wiyao_water_point","estimate"
"74","B22",34.4008162245154,-1.08181109335173,1791.40091853,881.488417526,477.582280927,1037.02601864,419.813122938,1273.18782524,1610.94064235,923.85899588,15,3519.46820057,2817.62308989,2208.84540477,1942.5680388,1266.60339424,907.239381281,999.494680557,751.698510741,548.21179778,4081.15310506,3542.37208605,1350.30264234,927.509188973,1401.95372144,775.025304054,2111.22258415,1108.39637792,1554.63043309,316.858036099,1900.94764712,265.718578478477
"75","B23",34.4010706990957,-1.08249392901228,1756.67177073,856.930445096,546.634953229,1050.13318124,425.631991802,1206.89689738,1584.13767589,937.039360321,13,3489.65526617,2754.74207348,2133.41899886,1868.21256503,1313.41668862,866.714161406,958.530122447,713.701188871,507.113517011,4011.58416259,3467.42630647,1298.94427971,997.600227187,1417.14692501,843.689467847,2098.44498679,1067.17871846,1498.47266625,370.695579302,1845.32266795,235.902620563853
"76","B24",34.4011997804046,-1.08131363222391,1860.94811645,949.971236299,414.785203018,1092.15818402,363.483149921,1337.28310453,1679.49641771,979.249837291,11,3588.32568396,2883.55995029,2264.99838692,2000.09341372,1296.85838186,977.081764667,1069.33595791,821.527709577,618.006740578,4143.22212354,3599.1288026,1331.10111112,929.418708293,1455.2932301,712.026586115,2176.23650924,1178.23761484,1622.75345051,348.764650388,1969.2410173,206.086662649229
"77","B25",34.4011397659779,-1.08101730089338,1880.78634354,967.228461482,383.606262716,1095.12835383,364.131932596,1367.51130031,1696.62430796,982.553371753,9,3605.94601592,2912.70858415,2297.75326502,2032.57122199,1284.63902815,999.553962633,1091.83971077,843.45252737,641.379258673,4174.41096021,3631.79284262,1350.45517912,905.807621587,1456.62688163,681.043497819,2187.87060091,1200.71729962,1649.86297309,340.652814787,1996.12444191,176.270704734605
"78","B26",34.4013372436166,-1.08080510887084,1913.0109504,999.386344587,356.524084407,1123.24520954,339.831275972,1395.85634801,1728.75600651,1010.86241624,2,3638.10564478,2942.02807299,2322.00475884,2057.52982686,1302.82876582,1031.54683515,1123.83126469,875.513781274,673.185718105,4201.61295303,3656.26647534,1340.49552533,912.244903375,1483.85586925,653.628965249,2219.02356585,1232.71590012,1680.46221192,363.456405197,2026.83944278,71.9148520334208
"79","B27",34.4016638025641,-1.08031267582619,1978.0205194,1063.46979341,298.168846929,1175.54443899,304.037285188,1458.23492677,1792.62516393,1063.73268323,4,3702.11481488,3005.53305298,2378.24608372,2114.91911578,1332.48843554,1097.18371481,1189.4691927,941.088272996,738.883267053,4262.20011524,3712.71486492,1332.99247285,918.170590057,1533.75188641,593.740205235,2279.13838661,1298.34893281,1745.42742061,406.77819115,2091.90278687,101.730809948045
"80","B28",34.4008846208453,-1.08042195641344,1912.14705123,994.161997373,326.91985816,1090.20416777,389.609751346,1425.40170489,1721.85256375,978.742962965,4,3631.31317867,2967.05862078,2363.38963685,2097.21783959,1247.57080364,1038.40000174,1130.54636459,881.492015688,683.660328863,4234.59884576,3696.99352041,1404.38153459,847.353778335,1447.34298904,623.521434851,2200.17861201,1239.15565517,1699.20643924,319.489395246,2044.68603801,101.730809948045
"81","B29",34.4030159711838,-1.08027379070829,2084.14470842,1178.78032863,321.855676801,1318.99544705,155.998163068,1509.82553651,1907.86087875,1206.57531951,13,3815.37311144,3061.46080538,2394.69376819,2137.17460874,1481.84478642,1194.89915186,1286.72936536,1041.54652383,835.221262767,4297.55043294,3728.00212158,1205.15239287,1053.35449359,1679.45029058,587.559228982,2408.84402927,1395.37261168,1818.16733518,555.615427952,2165.10982579,235.902620563853
"82","B30",34.4031970202923,-1.08079170021173,2058.11752812,1159.42263836,382.661921545,1321.63255855,134.240796677,1463.89116136,1886.96849516,1208.6921259,0,3792.17515155,3015.51698331,2339.86746555,2083.57252046,1507.6777169,1166.48763168,1257.82674914,1015.00309302,807.931111525,4246.04658449,3672.62317096,1158.21517414,1094.92385857,1684.71971164,647.222244782,2397.03915138,1366.07778092,1778.44471477,569.975550712,2125.1782008,42.0988941187968
"83","B31",34.4034343957901,-1.08076052507907,2079.63652134,1182.80386003,390.847987742,1347.99667515,107.659934271,1477.4393248,1909.84668526,1235.03313084,4,3814.34620791,3028.80769985,2346.69744872,2091.56970153,1533.48116095,1187.51288799,1278.66630617,1036.64583333,829.495570033,4255.59104269,3678.80020059,1137.23228283,1117.50015793,1711.20287105,647.917043254,2421.69954457,1386.75887114,1795.07460859,596.502076783,2141.64993099,101.730809948045
"84","B32 - CBO",34.4050266221166,-1.07958357978301,2298.35769546,1402.9279239,416.735116553,1555.31676835,131.630319864,1671.77428281,2129.91577933,1442.9165663,15,4033.84715009,3219.81177743,2505.08465781,2257.14386568,1700.94882217,1405.64339224,1496.43883877,1255.73205515,1048.56737855,4426.90157689,3831.27277553,1071.97512745,1240.44192865,1915.38345023,584.616124131,2640.33265237,1604.19519382,2000.87437073,789.302480082,2346.55195039,265.718578478477
"85","B33",34.4052398577332,-1.07918232547224,2346.08760389,1448.44121532,416.865663371,1592.18008052,182.026730735,1722.29550311,2176.11220849,1480.11832262,11,4080.96341794,3270.2544954,2553.52681361,2306.23988531,1724.05256114,1453.66596718,1544.62944748,1303.19291276,1096.02902415,4476.24915526,3878.95846347,1085.17190284,1252.5544325,1950.67781267,559.379726757,2683.32979667,1652.53057083,2051.13810005,822.514320614,2396.88033036,206.086662649229
"86","B34",34.4047433137894,-1.07939217109165,2289.92104767,1390.31425882,378.769108532,1532.35850666,137.814882258,1676.64625689,2118.41637046,1420.26125979,4,4024.02917304,3226.20531142,2520.01995746,2270.34730673,1669.021632,1398.00100463,1489.19195388,1246.83453328,1039.7303596,4439.12617635,3847.78364799,1109.65126031,1204.51989838,1891.09002444,550.723335287,2623.95175569,1597.29744267,2001.34814431,763.284898042,2347.49842653,101.730809948045
"87","B35",34.4037525728345,-1.0786449731252,2271.51667959,1359.57255002,241.98411173,1460.51636807,226.258609987,1708.31949243,2089.00149505,1350.10813435,7,3998.26992388,3260.00227606,2584.55693253,2329.34790397,1559.82262592,1385.89728527,1478.02537912,1231.10057823,1026.15126658,4492.5663345,3916.48524884,1247.23562971,1078.21247026,1812.82122464,429.433994483,2575.05428482,1586.87316067,2016.24304606,684.529560231,2363.21263302,146.454746819981
"88","B36",34.4034263491631,-1.07873447598684,2239.59995682,1326.34937328,215.990841249,1423.33464932,231.153264146,1686.03980516,2055.61134544,1313.03601416,5,3965.05206909,3237.50055915,2570.02065995,2313.39953488,1523.22780582,1355.42831068,1447.62938292,1200.2041417,995.892176382,4474.58685637,3902.77957572,1268.43319393,1044.90807063,1775.34959224,427.770108637,2539.3748125,1556.5156383,1990.19571234,647.255483263,2337.1639624,116.638788905357
"89","B37*",34.4028577208519,-1.0785323403068,2214.36058381,1297.5252225,152.119604836,1375.58569696,283.964474935,1686.32357261,2025.56379173,1266.26332385,7,3935.05400769,3236.36242449,2585.44696624,2326.2722529,1460.97379243,1335.39552776,1427.68100642,1179.15458394,977.227966481,4482.75827773,3919.32732355,1331.65182687,978.312408513,1724.38502714,393.211387072,2500.03063678,1536.54558155,1981.35645652,599.748174396,2328.08880225,146.454746819981
"90","B38",34.4022917747498,-1.07867313132915,2161.6753248,1243.23052365,126.50726817,1312.24843874,314.784893489,1652.72072045,1970.08837038,1203.26745339,1,3879.23074498,3200.63022013,2564.50223392,2303.11721698,1397.41929229,1286.74503683,1378.97526798,1130.03689622,930.203581209,4454.5901276,3898.92570612,1371.97822869,920.645853102,1660.16210857,405.858937894,2439.68256391,1487.70960216,1940.17880514,536.944385709,2286.51072594,57.0068730761088
"91","B39",34.4031075015664,-1.07905762487364,2189.16132956,1275.898239,212.952884789,1376.4263067,220.910992625,1640.10934601,2005.18218046,1265.79112125,15,3914.60701822,3191.26599205,2530.2197328,2272.38493588,1487.04587499,1305.27089814,1397.48762824,1149.94843989,945.816362463,4431.67871713,3863.59458773,1273.79715427,1019.21335671,1729.77351407,455.128119106,2489.9299186,1506.38026842,1941.85491516,600.816846503,2288.79970473,265.718578478477
