house_code,long,lat,Kandida,Kater,Kawegi,Near Kibuon Maranatha Church,Near Munyu Maranatha Church,Near Umbolwanda,Shirikisho Church,Unassessed,number_of_people
D3, 34.3900387734175,-1.09249475527936,124.28757808,810.611860944,2108.68142583,967.548829147,2073.55662891,900.080996055,129.518691573,1016.85903616,3
D4, 34.3896810337901,-1.09284103254011,85.018725375,865.755725709,2163.57500545,1013.57233522,2128.75754853,938.554786891,168.863783554,1065.71672429,4
D5, 34.389419183135,-1.09263722172739,115.355279103,868.574045839,2164.34412755,998.62946471,2136.90188172,968.186813627,154.0106246,1054.09377765,15
D6, 34.3892931193113,-1.09227083153092,158.360837923,849.526120285,2142.19109229,963.192771381,2122.63811485,984.432165865,123.712419612,1021.20170458,4
D7*, 34.3890051171184,-1.09221686188246,178.018345075,868.829076416,2158.63948343,967.020681431,2144.41088081,1016.8189526,139.433556479,1028.14040481,1
D8, 34.3887429311871,-1.0922212196802,194.183690892,890.963046218,2178.35428034,977.031897166,2168.01414524,1045.84153435,161.820664904,1040.68429651,8
D9, 34.3880381807685,-1.09235128317899,241.870067576,960.47577407,2241.95795687,1019.66276717,2239.77515342,1123.04316718,235.649511429,1089.12065906,3
D10, 34.3878219276667,-1.09252157249361,252.519773181,991.07858478,2272.2178406,1046.78867195,2270.35056386,1146.12041604,265.86774642,1117.33239948,9
D11, 34.3878802657127,-1.09201472710357,278.407825089,951.748438251,2226.97780729,992.996797938,2232.51849593,1143.32822278,236.804084348,1065.22778566,9
D12, 34.3878648430109,-1.09157626554641,312.6229551,925.284975156,2193.45026808,950.03836381,2206.53974431,1150.44159664,227.797151218,1024.4058922,4
D13, 34.388087131083,-1.09165939893525,288.98724493,910.069608944,2182.62998404,947.434657723,2191.19650921,1124.74148207,204.680765002,1019.51161678,4
D14, 34.3883094191551,-1.09135033043771,300.873469378,870.238850618,2140.7951087,905.824394052,2151.48529444,1105.20512131,176.834093463,977.367064978,9
D15, 34.3881508335471,-1.09085052437287,357.171395867,855.57986558,2114.20927387,863.734923744,2135.92609053,1132.6933152,201.880949908,939.231028304,6
D16, 34.389223381877,-1.09118138191804,276.263411845,776.614440042,2056.95136736,850.191744958,2057.02636146,1008.50832979,77.2157146177,913.322983095,3
D17*, 34.3899733945727,-1.09011539699184,386.922011938,640.163483861,1913.47119801,711.933864588,1921.3967169,958.882332601,136.221266937,770.910088026,7
D18, 34.3897088617086,-1.08833406159071,584.789607308,585.599236722,1797.01066469,536.101549274,1845.54178368,1066.42576416,334.726891732,610.23722097,5
D19, 34.3899988755584,-1.08798342600765,623.934273132,545.151667702,1747.05238633,487.329133757,1798.92260402,1058.03653264,373.202843222,559.956265575,6
D20, 34.3895717337728,-1.08636366339729,804.238668739,584.791798609,1672.50883761,359.798635,1768.08888279,1199.35113081,554.352575217,455.93294563,4
D19, 34.3899988755584,-1.08798342600765,623.934273132,545.151667702,1747.05238633,487.329133757,1798.92260402,1058.03653264,373.202843222,559.956265575,6
D20, 34.3895717337728,-1.08636366339729,804.238668739,584.791798609,1672.50883761,359.798635,1768.08888279,1199.35113081,554.352575217,455.93294563,4
D21, 34.3909664824605,-1.09476818376789,182.225879342,965.958290834,2255.24982006,1204.75522808,2171.41991592,821.143709272,399.395636981,1240.11360058,8
D22*, 34.3911418318748,-1.09561828869934,268.693358445,1043.88976499,2325.63017712,1297.9150845,2228.11589352,831.26837899,495.538842139,1330.78801059,9
D23, 34.3908481299877,-1.09585964336777,276.618327244,1081.49847126,2365.42228887,1326.75698618,2269.84585346,871.470490334,513.686441563,1362.04250835,10
D24, 34.3912343680859,-1.09617742698489,327.410021385,1097.67212576,2374.17944032,1359.54668871,2268.50678689,846.193332024,558.166223912,1391.15802251,10
D25, 34.3907391652465,-1.09596423038473,282.682484739,1097.0624112,2381.63827048,1339.30592241,2286.58411036,887.067274426,522.776662408,1375.43870389,3
D26, 34.3905088305473,-1.09587305195989,264.792581658,1098.69437377,2386.36747256,1331.5899605,2296.1349673,907.120553022,508.7686288,1369.83355749,3
D27, 34.3903358280659,-1.09581070200603,253.164790814,1100.98080067,2390.69858607,1326.81849928,2304.0003569,922.672247274,499.667704215,1366.64252961,3
D28, 34.3905011191964,-1.09607686255275,286.349369835,1119.52144286,2406.10368742,1354.22159344,2313.54216177,916.30572554,531.12985606,1392.28135187,6
D29*, 34.3907441943884,-1.09631452982195,319.516112895,1132.45946629,2414.76857711,1378.0816707,2315.50478949,902.045316105,561.239153308,1413.80505113,10
D30, 34.3897128850222,-1.09590556779553,257.569380654,1143.02069565,2437.18906841,1347.13392843,2359.11195111,991.400128151,508.286880798,1392.07686399,8
D31, 34.3903985247016,-1.0966175639432,342.421407537,1178.86523622,2463.405219,1415.2026424,2366.14776535,951.122079879,589.642370589,1453.47508774,6
D32, 34.3899857997894,-1.09695613079017,374.509634057,1232.42999775,2519.39985999,1458.0695258,2424.698025,1008.83612035,624.751307738,1499.215467,7
D33, 34.3924631550908,-1.09667052786832,450.773218613,1109.32890658,2358.56326532,1415.50341683,2226.77456038,753.629582056,657.843502597,1436.23982571,3
D34, 34.3926374986768,-1.09684316344053,477.966715812,1123.70226445,2367.3785376,1435.88615476,2230.82558685,748.489958729,683.602572552,1455.15474029,4
D35, 34.3926569446921,-1.0964851541263,450.122108807,1084.36937961,2330.58188667,1396.33262096,2197.39295215,724.316427876,649.216848132,1415.33179756,6
D36, 34.393021389842,-1.0955331441311,415.75987715,972.337665489,2217.68527441,1294.6112245,2088.36208829,636.223764841,581.377755326,1309.82538776,4
D37*, 34.3924534320831,-1.09533402650934,350.5732015,965.754528483,2226.67212467,1267.09137612,2109.89342297,684.184740432,527.255433082,1287.69106162,8
D38, 34.3922147154808,-1.09511580162586,315.094360972,950.089880225,2217.91622413,1241.46246898,2108.01571379,699.954375153,492.606085281,1264.37456004,12
D39, 34.3921141326427,-1.09590556779553,361.858443515,1037.30381518,2300.49119733,1328.80883349,2183.05579477,744.954259525,564.373245943,1352.63250399,2
D40*, 34.3916594982147,-1.09555392745114,298.634635843,1016.13815365,2290.54647473,1289.08655702,2185.05223423,775.098739006,507.938676575,1317.21837259,6
