house_code,long,lat,Kandida,Kater,Kawegi,Near Kibuon Maranatha Church,Near Munyu Maranatha Church,Near Umbolwanda,Shirikisho Church,Unassessed,number_of_people
B60, 34.4044184312224,-1.0895586040863,1683.24523334,1107.7258741,1356.74907665,1540.86424532,998.511141864,794.528138474,1626.17243457,1450.04108504,6
B61, 34.4048291444778,-1.08994376667913,1716.67655422,1163.31884317,1408.75291114,1600.06838609,1042.49960108,816.644370983,1666.9753131,1510.09589693,6
B62, 34.4046635180712,-1.09013752121112,1693.77466054,1152.07777998,1425.50151628,1592.51205204,1063.32618726,791.136994928,1646.75585731,1503.77149575,8
B63, 34.4048298150301,-1.09080560551387,1696.66156042,1194.16158528,1502.03967156,1642.29127209,1138.23668797,782.527014871,1660.87854626,1556.15736375,36
B64, 34.4043198600411,-1.09168554572642,1625.32198969,1181.43046705,1586.69091229,1641.28811889,1235.03118839,702.953647182,1603.59279187,1560.56144906,7
B65, 34.4041418284178,-1.09154475530972,1607.84217287,1156.75820344,1567.90522695,1616.23221518,1219.65547451,686.931254884,1583.50165976,1535.38668871,5
B66, 34.4038159400225,-1.09172510112804,1569.20646,1133.5430358,1582.21333112,1596.19276415,1241.02482211,647.207436805,1547.70242973,1517.22954512,5
B67, 34.4042568281293,-1.091961427881,1614.64280902,1189.15724386,1615.71601462,1651.6392341,1265.76720609,690.594153505,1597.62354292,1572.3819298,3
C1, 34.3990090861917,-1.08690905955538,1262.80300229,468.364474272,1077.56693139,872.126217441,923.440160608,677.804312764,1126.11355278,780.388206636,2
C2, 34.3987465649843,-1.08667273240616,1255.25715432,440.376985765,1061.49340075,835.310788424,923.136262053,700.323482563,1111.95572787,742.581802307,9
C3*, 34.398944042623,-1.08628187072587,1299.41106344,467.402369273,1013.29733023,841.493701861,876.426704833,745.952481359,1151.9967772,744.950540507,5
C4, 34.3991787359118,-1.08530940932772,1389.07721883,521.023384266,902.509236351,840.5205848,782.16591656,856.559676707,1230.25780624,736.625090693,6
C5, 34.3995260819793,-1.08616119300991,1358.62107164,533.441294413,981.784190976,899.560804669,822.909417422,769.740062785,1215.18628913,800.677294898,7
C6*, 34.3995716795325,-1.08674480380824,1324.3047373,531.454674224,1043.35136585,924.106901982,869.772021369,707.452344222,1190.39898066,829.258495869,3
C7, 34.3999374657869,-1.08671798654255,1359.45398915,572.217409388,1031.42509191,961.565790533,842.940711743,720.668004594,1228.49963156,865.533009614,7
C8, 34.4000631943345,-1.08625538867195,1400.36385085,590.883157837,978.224217468,959.891950633,793.307954948,773.963455381,1263.36943013,860.520045814,3
C9, 34.4003247097135,-1.08646858596024,1410.64937562,617.109927031,996.187128485,994.335739559,795.442973228,760.085767167,1279.22367157,895.785573145,7
C10, 34.4007609039545,-1.08674379816078,1434.55665056,663.552478414,1019.61824503,1049.58360656,795.181905085,748.813277833,1311.09333394,951.832259766,9
C11*, 34.4012644886971,-1.08717253916377,1458.38519453,719.408449422,1062.24131352,1117.51329563,811.148411674,730.25937146,1345.68321312,1021.24357068,4
