house_code,long,lat,Bondo A Well - EWB Hope College,Bondo Concrete Water Tank,Bondo Kokumu Well,Bondo Water Kiosk,Hand dug deep well,Kandwat,Kapaul,Kibuon (spring),Koyanda,Lela B Well - EWB Oregon State / SF Professional,Lela C,Munyu River,New source,Nyamilo water project well,Ogwedhi,Ogwedhi Water Project,Old hand dug well,Riamanyama,Wadhanyim,Wiyao Water Point
C4, 34.3991787359118,-1.08530940932772,3126.29587026,2391.84399262,1826.6354243,1554.77753564,1252.20430068,495.928870749,586.476689179,349.769602098,147.173356524,3667.91279818,3152.91140471,1451.07107339,1107.16827834,1198.54054298,1198.56738155,1773.14374466,694.283194421,1125.16448765,491.536798605,1471.46604136
C5, 34.3995260819793,-1.08616119300991,3097.12420224,2313.34379225,1729.18875648,1458.1959133,1337.44969733,470.9824742,556.609733593,343.386397264,177.666669014,3580.21602784,3057.46469193,1410.44503726,1208.67058412,1249.38819042,1279.03651731,1775.08446343,660.69826709,1057.50706068,593.049813562,1404.48265204
C6*, 34.3995716795325,-1.08674480380824,3061.79265837,2253.55266011,1664.09891481,1393.15197066,1380.16410266,446.444793464,527.380841518,335.051012313,205.719636514,3517.00386432,2992.51067077,1407.63661389,1268.19118914,1266.87585727,1340.76142914,1759.38727934,627.883549663,1003.49012305,657.001922523,1350.31429561
C7, 34.3999374657869,-1.08671798654255,3096.20805905,2270.01330196,1664.76216851,1395.16019594,1410.83856985,485.26499029,564.918615274,375.801199535,240.68528568,3526.85416518,2995.27808861,1366.86609113,1285.02625556,1305.97718625,1328.87033981,1799.10932011,664.157908287,1027.23102375,665.620453939,1373.62572144
C8, 34.4000631943345,-1.08625538867195,3138.17142861,2323.12803752,1715.6020678,1446.53840791,1392.39069035,518.715752931,601.605047885,398.272708045,238.265499965,3579.95055051,3046.76949288,1350.90480179,1247.64233934,1310.01266239,1275.65742709,1828.14823259,703.328092545,1078.28155045,621.768615068,1424.89733011
C9, 34.4003247097135,-1.08646858596024,3147.31728365,2311.0511389,1691.12247981,1423.14876961,1429.77813941,535.539905375,615.833881991,422.182438808,272.015911627,3561.90868336,3023.38143091,1322.53379914,1283.02773176,1342.79140333,1293.35472927,1848.46376696,715.332412251,1073.90925854,654.528464926,1419.89289814
C10, 34.4007609039545,-1.08674379816078,3168.67282893,2300.40297007,1660.31932837,1394.44282813,1487.07627035,570.669691376,647.116794742,466.693538094,327.242598487,3541.25395611,2993.94699253,1275.66194862,1334.78132346,1396.20658642,1315.85917292,1885.99819398,743.150771728,1076.67653632,702.11674948,1421.07272605
C11*, 34.4012644886971,-1.08717253916377,3187.49072763,2278.5535415,1614.21574496,1351.26833389,1560.23208272,612.747519943,683.706838058,521.31469892,396.23617044,3506.3735539,2948.65506581,1223.89847347,1405.3339128,1460.92163409,1356.70521736,1927.4417045,774.630876534,1074.22165946,769.671798656,1415.49963376
C13, 34.3980052694678,-1.08879498306476,2786.84219226,1983.11648816,1461.05168979,1186.2304438,1410.62605129,243.727813244,292.049518482,248.45559346,329.539276577,3266.26568967,2772.30827879,1609.44573,1413.06042291,1175.57557923,1607.44840607,1534.00523664,372.717706866,719.522105533,863.606944844,1066.4760103
C14*, 34.3985547870398,-1.08952944033705,2791.50546187,1923.97143114,1369.605824,1095.2448747,1512.396299,328.333167752,357.842480588,350.349786054,416.41443037,3193.56732883,2686.79941848,1567.88815581,1509.49014677,1266.63670689,1668.71059946,1580.74675456,418.964438522,681.899690449,946.738965686,1027.17064262
C15, 34.3977963924408,-1.090406363984,2667.84091174,1804.97546283,1291.32822856,1016.45915008,1537.2283566,317.387910321,311.904984847,394.274690031,509.016630003,3085.59200518,2595.66830377,1675.46778282,1579.22976138,1243.20000178,1785.48532277,1486.31618329,341.682747365,553.68799997,1043.21102473,899.596839308
C16, 34.3972187116742,-1.09034636042456,2617.47383171,1793.1859203,1314.74095696,1040.55155099,1495.13248313,272.513873703,254.724973503,370.48465694,508.772166779,3084.96048242,2608.85992364,1735.13598628,1557.96262326,1186.2203795,1798.64976779,1422.88046664,277.596842306,526.147753856,1040.44799358,873.116393469
C17, 34.3968167155981,-1.09022534765578,2587.71977615,1794.86545065,1341.00157294,1067.61068233,1459.37636955,238.563097809,211.48912408,351.09864722,504.883340523,3094.0972108,2627.6776252,1774.51315633,1535.92199932,1141.91165767,1800.84025169,1379.65871652,231.002148277,519.039448384,1032.15474768,865.046557872
C18*, 34.3957833945751,-1.08989951823755,2514.56878198,1806.33967771,1414.86563906,1144.48072018,1369.05224973,178.093361965,112.100417628,325.994665493,513.107607545,3122.30520071,2680.79273276,1876.88776765,1482.87713125,1027.97649202,1810.48363154,1269.90576771,111.284768585,521.520412974,1018.77931589,857.2809815
C19, 34.3955862522125,-1.09049620171322,2458.04269721,1737.19862326,1362.52976296,1094.23584804,1417.01116371,246.206685473,170.780269522,395.81032658,582.067220203,3054.99455491,2619.36224936,1914.42062657,1546.56980677,1053.05388693,1880.02329215,1240.63001355,120.755504704,452.551025953,1088.51050014,787.420264487
C20, 34.3952593579888,-1.09048715089735,2429.0382684,1732.37418215,1378.72288271,1112.08932854,1399.78741839,252.462583514,168.866614641,406.476100751,598.565519839,3054.60802116,2627.24071738,1949.27476895,1542.52934212,1025.26604506,1894.05957524,1204.52332287,96.5790090466,449.7119708,1097.34877598,778.489272969
C21, 34.3970587849617,-1.09076839660779,2577.04631416,1743.22405315,1275.23672205,1001.70076039,1524.76823402,304.635830351,272.90601281,413.954012236,558.054040052,3036.48223355,2564.37043088,1765.70649986,1600.31485277,1199.32062716,1848.80214866,1401.75893581,275.98355038,476.412087028,1088.88975641,823.385155436
